country_name,food_name,eficiencia
Belgium,Tomatoes,426.56570695553023
Belgium,Eggplants (aubergines),415.3510895883777
Dominican Republic,Watermelons,357.56093810555126
United Kingdom of Great Britain and Northern Ireland,Cucumbers and gherkins,354.8613704357526
Netherlands (Kingdom of the),Eggplants (aubergines),354.79869865799105
Belgium,Cucumbers and gherkins,352.6508982035928
United Kingdom of Great Britain and Northern Ireland,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",344.36751378640776
Netherlands (Kingdom of the),"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",338.9514413064047
Netherlands (Kingdom of the),Cucumbers and gherkins,288.14601195115614
Ireland,Cucumbers and gherkins,286.1013157894737
Iceland,Cucumbers and gherkins,273.87368421052633
Netherlands (Kingdom of the),Tomatoes,263.5854195874224
Belgium,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",242.23294509151415
Finland,Tomatoes,237.45056421278883
Denmark,Tomatoes,236.25135663121338
Norway,Tomatoes,226.13851351351352
Sweden,Tomatoes,205.65159447881962
Iceland,Tomatoes,197.6095185185184
United Kingdom of Great Britain and Northern Ireland,Tomatoes,183.99486601398644
Belgium-Luxembourg,Tomatoes,179.1826819500069
Ireland,Tomatoes,153.0318407960199
Senegal,Sugar cane,132.081604238444
Senegal,Sugar Crops Primary,132.081604238444
Switzerland,Pears,127.1953019328275
Belgium-Luxembourg,Leeks and other alliaceous vegetables,126.02197147875793
Peru,Sugar cane,125.34414765892147
Peru,Sugar Crops Primary,125.34414765892147
Ethiopia PDR,Sugar cane,124.08921192938347
Ethiopia PDR,Sugar Crops Primary,124.08921192938347
Burkina Faso,Sugar cane,121.79822868228511
Burkina Faso,Sugar Crops Primary,121.79822868228511
Jordan,Artichokes,121.66875
Malawi,Sugar cane,116.78201282900795
Malawi,Sugar Crops Primary,116.78201282900795
Israel,Sugar Crops Primary,115.72360683568382
Kuwait,Cucumbers and gherkins,114.5739160384218
Dominican Republic,Papayas,114.52142083188829
Luxembourg,Sugar beet,110.0
Luxembourg,Sugar Crops Primary,110.0
Switzerland,Cucumbers and gherkins,109.25505293551493
Austria,Tomatoes,108.955157765572
Zambia,Sugar Crops Primary,108.12663804113983
Norway,Cucumbers and gherkins,103.51902173913044
Egypt,Sugar cane,103.31079081643443
Sierra Leone,Sugar cane,102.33298623874666
Sierra Leone,Sugar Crops Primary,102.33298623874666
Antigua and Barbuda,Sugar Crops Primary,100.51429466383264
Eswatini,Sugar cane,99.05027465288101
Eswatini,Sugar Crops Primary,99.05027465288101
Guatemala,Sugar cane,98.78914136634899
Guatemala,Sugar Crops Primary,98.78914136634899
Israel,Other stone fruits,95.32894736842105
Northern Africa,Sugar cane,94.23373409122513
Chad,Sugar cane,91.10100804755638
Chad,Sugar Crops Primary,91.10100804755638
Zimbabwe,Sugar cane,90.52074933957549
Zimbabwe,Sugar Crops Primary,90.52074933957549
Saint Lucia,Sugar Crops Primary,89.80856882406563
