"country_name","total_food","total_animals","total_fertilizer","total_years","food_fert","food_animal_fert","mean_food_year","mean_fert_year","mean_animal_year"
"Solomon Islands","47901195.41","26716296.00","5959.37",62,"8037.9629742741262919","12521.036856244872","772599.925967741935","96.1188709677419355","430908.000000000000"
"Vanuatu","33643491.51","64715544.00","4237.32",62,"7939.8042890317464813","23212.557821925179","542636.959838709677","68.3438709677419355","1043799.096774193548"
"Democratic Republic of the Congo","3686850351.98","2788805364.00","496551.11",62,"7424.9161420261451032","13041.267224193699","59465328.257741935484","8008.8888709677419355","44980731.677419354839"
"Comoros","25838906.45","71616323.00","4017.81",62,"6431.0921745926263313","24255.808375707164","416756.555645161290","64.8033870967741935","1155101.983870967742"
"Uganda","2481832002.33","4943606442.00","389530.92",62,"6371.3350465991249167","19062.513559462751","40029548.424677419355","6282.7567741935483871","79735587.774193548387"
"Somalia","424112169.44","4472588901.00","66803.19",62,"6348.6813944064647212","73300.407816453077","6840518.861935483871","1077.4708064516129032","72138530.661290322581"
"Puerto Rico","367627898.14","1099146056.00","63797.42",62,"5762.4257868108146066","22991.117103795106","5929482.228064516129","1028.9906451612903226","17728162.193548387097"
"Tonga","17364377.43","36249176.00","3164.90",62,"5486.5485260197794559","16940.046582830421","280070.603709677419","51.0467741935483871","584664.129032258065"
"Central African Republic","272288853.88","1208510915.00","51486.53",62,"5288.5454482949229633","28760.916085818951","4391755.707741935484","830.4279032258064516","19492111.532258064516"
"Niger","759970354.03","4588323622.00","257365.03",62,"2952.8889532117086770","20780.966147693026","12257586.355322580645","4151.0488709677419355","74005219.709677419355"
"Cabo Verde","11396979.57","71841765.00","4189.49",62,"2720.3739763073787024","19868.467180969521","183822.251129032258","67.5724193548387097","1158738.145161290323"
"Guinea","718712382.38","2300108754.00","280411.93",62,"2563.0592192707350219","10765.665841606668","11592135.199677419355","4522.7730645161290323","37098528.290322580645"
"Rwanda","709554184.18","597261345.00","297419.41",62,"2385.7023459901288890","4393.8474936117989071","11444422.325483870968","4797.0872580645161290","9633247.500000000000"
"Sao Tome and Principe","8850146.02","28999874.00","3842.39",62,"2303.2919667186308522","9850.6450464424485802","142744.290645161290","61.9740322580645161","467739.903225806452"
"Madagascar","1309971111.49","4900897321.00","751570.21",62,"1742.9790245278614755","8263.8565896458296291","21128566.314354838710","12122.100161290323","79046730.983870967742"
"Burundi","549503148.58","624628903.00","324856.06",62,"1691.5280834841129330","3614.3147570650213513","8862954.009354838710","5239.6138709677419355","10074659.725806451613"
"China, Hong Kong SAR","53948111.79","1271974000.00","32349.69",62,"1667.6546758253324839","40987.165929256200","870130.835322580645","521.7691935483870968","20515709.677419354839"
"Congo","233930185.58","282298758.00","149066.13",62,"1569.3047480336411766","3463.0867761845028109","3773067.509354838710","2404.2924193548387097","4553205.774193548387"
"Middle Africa","7704490322.76","16823668869.00","5020889.48",62,"1534.4871368807743603","4885.2218893613248782","124265972.94774194","80982.088387096774","271349497.88709677"
"Bolivia (Plurinational State of)","1334552453.12","12047793736.00","874347.56",62,"1526.3409131261257251","15305.522427625920","21525039.566451612903","14102.380000000000","194319253.80645161"
"Bhutan","41737534.85","91630028.00","30551.74",62,"1366.1262779141220762","4365.3017094934691117","673186.045967741935","492.7700000000000000","1477903.677419354839"
"Grenada","6898627.23","40430424.00","5163.57",62,"1336.0189229544675486","9165.9551879804089031","111268.181129032258","83.2833870967741935","652103.612903225806"
"Polynesia","56208132.04","149879167.00","45665.25",62,"1230.8731921975681727","4513.0005647620455379","906582.774838709677","736.5362903225806452","2417405.919354838710"
"Sierra Leone","327173511.63","1129474546.00","266521.15",62,"1227.5705385107335759","5465.4126234634662202","5276992.123064516129","4298.7282258064516129","18217331.387096774194"
"Angola","1272509350.08","2438484711.00","1083410.54",62,"1174.5403086811394691","3425.2888670254214067","20524344.356129032258","17474.363548387097","39330398.564516129032"
"Haiti","612502028.29","1137112601.00","534324.86",62,"1146.3101834528155774","3274.4398778114123307","9879064.972419354839","8618.1429032258064516","18340525.822580645161"
"Mozambique","1225892044.66","3519550559.00","1140394.64",62,"1074.9717700006025984","4161.2284355001878999","19772452.333225806452","18393.461935483871","56766944.500000000000"
"Nigeria","12907661438.31","23561514153.00","13886952.62",62,"929.4812037970357819","2626.1467572653099467","208188087.71467742","223983.106774193548","380024421.82258065"
"Seychelles","2359190.75","31678010.00","2563.48",62,"920.3078432443397257","13277.732125860159","38051.463709677419","41.3464516129032258","510935.645161290323"
"Ghana","2454530591.97","4394507985.00","2698327.08",62,"909.6490229679642840","2538.2536563988380534","39589203.096290322581","43521.404516129032","70879161.048387096774"
"Eswatini","537379444.87","262384476.00","617381.50",62,"870.4171486673960914","1295.4128377186553209","8667410.401129032258","9957.7661290322580645","4232007.677419354839"
"Liberia","160853543.22","620844590.00","191362.00",62,"840.5720217180004390","4084.9182869117170598","2594411.987419354839","3086.4838709677419355","10013622.419354838710"
"Equatorial Guinea","24180167.68","39293958.00","29135.46",62,"829.9222898831870168","2178.5867008792721996","390002.704516129032","469.9267741935483871","633773.516129032258"
"Chad","466202958.70","5299667811.00","562263.75",62,"829.1535043829519509","10254.743916355981","7519402.559677419355","9068.7701612903225806","85478513.080645161290"
"Ethiopia PDR","778093892.20","7925505092.00","941579.00",31,"826.3713317735421032","9243.6205397529044297","25099802.974193548387","30373.516129032258","255661454.58064516"
"United Republic of Tanzania","2802435439.16","7178105708.00","3467441.73",62,"808.2141409655354180","2878.3587221694998751","45200571.599354838710","55926.479516129032","115775898.51612903"
"Gabon","130075468.95","323321162.00","173957.08",62,"747.7446100497892929","2606.3706688454416457","2097991.434677419355","2805.7593548387096774","5214857.451612903226"
"Western Africa","22444765256.54","63458836068.00","30391832.81",62,"738.5130537160256246","2826.5357295685912929","362012342.84741935","490190.851774193548","1023529614.00000000"
"Papua New Guinea","661419093.92","446587540.00","897530.05",62,"736.9325338132132735","1234.5064479122453894","10668049.901935483871","14476.291129032258","7203024.838709677419"
"Djibouti","5939644.92","138316355.00","8200.56",62,"724.2974772454564079","17590.993776034807","95800.724516129032","132.2670967741935484","2230908.951612903226"
"Melanesia","1159790407.31","1028652278.00","1628559.86",62,"712.1570633025426526","1343.7901418680428486","18706296.892096774194","26267.094516129032","16591165.774193548387"
"Guinea-Bissau","71435049.79","277895113.00","106582.07",62,"670.2351510906102687","3277.5696961974936310","1152178.222419354839","1719.0656451612903226","4482179.241935483871"
"Lao People's Democratic Republic","639580350.77","2642696264.00","966348.60",62,"661.8526179579501642","3396.5761576826416471","10315812.109193548387","15586.267741935484","42624133.290322580645"
"Cameroon","1609602840.59","4414297304.00","2471176.50",62,"651.3508203845415332","2437.6648712020367627","25961336.138548387097","39857.685483870968","71198343.612903225806"
"Kazakhstan","2045664525.66","3759673295.00","3158832.20",31,"647.6015173138984717","1837.8113977247667667","65989178.247096774194","101897.812903225806","121279783.70967742"
"Fiji","409765928.19","429013552.00","661008.66",62,"619.9100752931134064","1268.9387158558558068","6609127.874032258065","10661.430000000000","6919573.419354838710"
"Benin","738766618.39","2165333847.00","1251800.45",62,"590.1632471772957104","2319.9388252256979138","11915590.619193548387","20190.329838709677","34924739.467741935484"
"Guyana","504484912.29","1614576186.00","888209.78",62,"567.9794612146693544","2385.7664551835941280","8136853.424032258065","14325.964193548387","26041551.387096774194"
"Cambodia","1197366613.75","2196108359.00","2111565.95",62,"567.0514879016684276","1607.0892660255295365","19312364.737903225806","34057.515322580645","35421102.564516129032"
"Mauritania","80026567.36","2095476845.00","146680.67",62,"545.5835957116912542","14831.561734480760","1290751.086451612903","2365.8172580645161290","33798013.629032258065"
