"country","chickens","area_chickens","eggs","area_eggs","potatoes","area_potatoes","rice","area_rice","total_fertilizer"
"Afghanistan","0.00","0.00","990137.10","0.00","18523127.00","1303749.00","27773900.00","11185798.00","293.92"
"Africa","0.00","0.00","112809524.00","0.00","776679555.84","62948901.00","1051407374.35","480318407.00","954.25"
"Albania","0.00","0.00","1302412.39","0.00","8933110.20","739198.00","NaN","NaN","4628.43"
"Algeria","0.00","0.00","8112806.60","0.00","103663417.13","5537777.00","105467.60","38897.00","1026.56"
"Americas","0.00","0.00","615464705.93","0.00","2204779111.17","109396553.00","1660593560.79","462848972.00","4830.68"
"Angola","0.00","0.00","1031231.74","0.00","12821935.00","2066077.00","995959.00","901353.00","261.64"
"Argentina","0.00","0.00","23494673.00","0.00","132194559.78","6764664.00","47234417.00","8758131.00","1191.27"
"Armenia","0.00","0.00","903752.80","0.00","15401854.60","934263.00","NaN","NaN","2032.21"
"Asia","0.00","0.00","1561146898.23","0.00","5933053265.57","371118116.00","29640488584.01","8271377431.00","6439.91"
"Australia","0.00","0.00","11503162.07","0.00","64401731.17","2310994.00","38218225.15","4847970.00","3696.69"
"Australia and New Zealand","0.00","0.00","14930832.77","0.00","87768219.97","2938777.00","38218225.15","4847970.00","3726.02"
"Austria","0.00","0.00","6192711.00","0.00","82668433.15","3335043.00","0.00","0.00","9920.27"
"Azerbaijan","0.00","0.00","2114202.57","0.00","23791404.20","1660735.00","271459.80","78172.00","663.89"
"Bahamas","0.00","0.00","37937.35","0.00","NaN","NaN","0.00","0.00","4696.80"
"Bahrain","0.00","0.00","150184.83","0.00","2799.11","152.00","0.00","0.00","8170.03"
"Bangladesh","0.00","0.00","13026794.90","0.00","213129378.00","13489110.00","1975004918.00","656352800.00","7351.79"
"Belarus","0.00","0.00","6181459.50","0.00","226921975.00","14130339.00","0.00","0.00","5422.96"
"Belgium","0.00","0.00","3124946.00","0.00","81255072.00","1865704.00","0.00","0.00","5852.81"
"Belgium-Luxembourg","0.00","0.00","7815931.00","0.00","71492634.00","1888512.00","0.00","0.00","18137.64"
"Belize","0.00","0.00","90176.76","0.00","NaN","NaN","598109.79","206150.00","5621.49"
"Benin","0.00","0.00","515914.52","0.00","NaN","NaN","5884570.70","1865614.00","438.99"
"Bhutan","0.00","0.00","62247.50","0.00","2031743.20","236037.00","3414823.74","1493261.00","261.80"
"Bolivia (Plurinational State of)","0.00","0.00","2900105.40","0.00","49403426.76","8935821.00","16203870.08","7146696.00","230.39"
"Bosnia and Herzegovina","0.00","0.00","599129.00","0.00","11853814.60","1233911.00","0.00","0.00","1640.98"
"Botswana","0.00","0.00","133415.25","0.00","NaN","NaN","0.00","0.00","1029.38"
"Brazil","0.00","0.00","92301013.95","0.00","159628679.00","10517134.00","602395678.00","245813491.00","6407.17"
"Brunei Darussalam","0.00","0.00","254679.18","0.00","0.00","0.00","178522.00","109706.00","2077.87"
"Bulgaria","0.00","0.00","5861774.40","0.00","23136258.00","1975591.00","2851452.00","678964.00","7439.12"
"Burkina Faso","0.00","0.00","1889416.44","0.00","447899.63","205468.00","8060637.63","4263576.00","342.78"
"Burundi","0.00","0.00","168921.34","0.00","4873399.31","904799.00","3933345.81","1751991.00","221.40"
"Cabo Verde","0.00","0.00","70053.70","0.00","173610.03","12867.00","0.00","0.00","86.94"
"Cambodia","0.00","0.00","843353.33","0.00","0.00","0.00","285505822.00","132212356.00","517.46"
"Cameroon","0.00","0.00","1768299.83","0.00","7138325.51","1473107.00","5865255.09","3138903.00","340.76"
"Canada","0.00","0.00","23938065.00","0.00","235064820.18","12553559.00","0.00","0.00","3397.39"
"Caribbean","0.00","0.00","11873094.77","0.00","15916553.15","958649.00","66873423.63","20448347.00","3910.66"
"Central African Republic","0.00","0.00","101423.55","0.00","53573.63","34261.00","1085990.00","856187.00","26.91"
"Central America","0.00","0.00","103847013.44","0.00","95098378.22","5077779.00","70007373.05","22236942.00","3845.47"
"Central Asia","0.00","0.00","14699296.95","0.00","194472294.29","11295172.00","26377159.15","7345328.00","1054.72"
"Chad","0.00","0.00","277920.58","0.00","1512084.94","209782.00","6716097.40","5115951.00","141.13"
"Chile","0.00","0.00","7230456.91","0.00","59579028.45","4059202.00","7514612.90","1791784.00","5553.42"
"China","0.00","0.00","931046221.36","0.00","3032274601.58","208783925.00","10414256279.19","1993611026.00","13198.14"
"China, Hong Kong SAR","0.00","0.00","124719.89","0.00","0.00","0.00","216101.19","110229.00","7227.61"
"China, mainland","0.00","0.00","915583598.52","0.00","3029793143.97","208646656.00","10269786020.00","1962925188.00","13221.11"
"China, Taiwan Province of","0.00","0.00","15303517.94","0.00","2481457.61","137268.00","144254158.00","30575609.00","10579.18"
"Colombia","0.00","0.00","22320713.41","0.00","124773010.63","8040444.00","112432777.00","27017286.00","8074.70"
"Comoros","0.00","0.00","49135.63","0.00","NaN","NaN","374880.59","388022.00","35.91"
"Congo","0.00","0.00","64127.53","0.00","205611.69","27150.00","150274.83","156327.00","264.71"
"Costa Rica","0.00","0.00","2246463.50","0.00","3087129.50","163806.00","11013952.39","3507735.00","13064.38"
"Côte d'Ivoire","0.00","0.00","1485789.44","0.00","NaN","NaN","49602729.00","28389605.00","542.28"
"Croatia","0.00","0.00","1176996.00","0.00","11104415.00","1008760.00","0.00","0.00","6601.19"
"Cuba","0.00","0.00","5481862.13","0.00","11976118.98","674499.00","26099764.85","9389912.00","5287.48"
"Cyprus","0.00","0.00","447376.00","0.00","9059678.00","444597.00","0.00","0.00","6683.10"
"Czechia","0.00","0.00","3115192.34","0.00","29247999.98","1278137.00","0.00","0.00","3780.97"
"Czechoslovakia","0.00","0.00","7927620.00","0.00","137035787.00","8865422.00","0.00","0.00","8056.77"
"Democratic People's Republic of Korea","0.00","0.00","6320686.44","0.00","57160629.45","6096130.00","151983351.59","35299392.00","9147.96"
"Democratic Republic of the Congo","0.00","0.00","460513.59","0.00","3909963.79","822867.00","29372588.00","35312664.00","48.72"
"Denmark","0.00","0.00","5252429.00","0.00","88336260.00","2594665.00","0.00","0.00","11544.03"
"Dominica","0.00","0.00","25243.33","0.00","13724.31","2150.00","0.00","0.00","5976.03"
"Dominican Republic","0.00","0.00","3864955.09","0.00","2332074.33","154843.00","32661718.38","7528770.00","3592.26"
"Eastern Africa","0.00","0.00","18709926.88","0.00","278818953.92","29224928.00","274192513.42","129604213.00","707.98"
