"country","id_area","slope"
"Mozambique",126,"-5339.499186377047"
"Middle Africa",214,"-4335.020266064425"
"Malawi",112,"-3357.4312109664497"
"Burkina Faso",26,"-3047.5244609473766"
"Oman",140,"-1562.1719988315472"
"Somalia",173,"-1297.5047587500003"
"Cameroon",30,"-764.5594477626051"
"Nigeria",136,"-517.4437977756662"
"Eswatini",63,"-331.40381681904756"
"Thailand",185,"-327.9110970398524"
"Argentina",5,"-249.8219962790931"
"Cambodia",29,"-184.19750563706566"
"Syrian Arab Republic",183,"-168.96883160482366"
"Least Developed Countries",240,"-107.24608855186072"
"Guatemala",80,"-100.44252833163112"
"Cuba",47,"-98.72705330127206"
"Mauritius",120,"-86.73166671590282"
"Land Locked Developing Countries",241,"-68.91254096376106"
"Small Island Developing States",242,"-66.06978589339516"
"Caribbean",221,"-56.841727437048036"
"Indonesia",89,"-44.1748556926463"
"Bolivia (Plurinational State of)",20,"-35.06944202892744"
"South-eastern Asia",227,"-34.567202086574376"
"Venezuela (Bolivarian Republic of)",205,"-31.92931099496341"
"Iran (Islamic Republic of)",90,"-29.52182207696878"
"Cyprus",48,"-27.48504161460129"
"Bangladesh",12,"-26.333562172206623"
"Kazakhstan",98,"-25.268245293603467"
"Pakistan",141,"-23.415754102623477"
"Philippines",147,"-23.252088522685757"
"Southern Asia",226,"-21.383669524442574"
"India",88,"-19.891656516642044"
"Viet Nam",206,"-19.80987870387128"
"Brazil",23,"-19.786149830640966"
"Net Food Importing Developing Countries",244,"-18.71920477993926"
"Türkiye",192,"-17.404645945121395"
"Azerbaijan",9,"-16.723087630374337"
"Serbia and Montenegro",166,"-15.392738466543598"
"Colombia",40,"-14.438543898251002"
"Malaysia",113,"-9.737542269835798"
"Iraq",91,"-9.387351828320174"
"China",35,"-9.31690071791987"
"China, mainland",38,"-8.798183836582528"
"South America",222,"-8.679712146418156"
"Africa",212,"-8.214816933254266"
"Yugoslav SFR",208,"-7.870232878710583"
"Morocco",125,"-6.472205722939192"
"Low Income Food Deficit Countries",243,"-6.027896640042527"
"Asia",223,"-5.7404715552729595"
"Western Asia",228,"-5.43692973027832"
"USSR",202,"-4.618208674581046"
"Jordan",97,"-4.575547289565851"
"Egypt",58,"-4.379423564843178"
"Northern Africa",215,"-3.846552714758349"
"Algeria",2,"-3.754855718787628"
"Turkmenistan",193,"-3.6818368125303573"
"Georgia",74,"-3.524774982095089"
"Republic of Korea",152,"-3.3457452425534324"
"Poland",148,"-2.7900097011410603"
"Eastern Asia",225,"-2.6765754366271213"
"Trinidad and Tobago",190,"-2.624693158096805"
"Czechoslovakia",50,"-2.204117465448113"
"Lebanon",105,"-2.0751156626025984"
"Ireland",92,"-2.073065350179396"
"Eastern Europe",230,"-1.5621917518997543"
"Chile",34,"-1.4074561710508613"
"Saudi Arabia",163,"-1.1075817795854463"
"Slovakia",170,"-1.0938149652487723"
"Lithuania",109,"-1.070326077268595"
"Russian Federation",156,"-0.6572481757921694"
"Canada",31,"-0.6136324063575188"
"Denmark",53,"-0.5950795777841782"
"United Arab Emirates",197,"-0.46464483614714264"
"Finland",68,"-0.4238599826484273"
"World",211,"-0.41563445779370367"
"Bulgaria",25,"-0.3657945685794869"
"Israel",93,"-0.3599005718630821"
"Belarus",14,"-0.29365386380573566"
"Europe",229,"-0.24618423118847876"
"Norway",139,"-0.21414938394144722"
"Qatar",151,"-0.01153697914855619"
"Bahrain",11,"0.0044941929145585315"
"Netherlands (Kingdom of the)",131,"0.008955396935197379"
"Belgium",15,"0.028161042418825347"
"Northern America",219,"0.0373303166535234"
"Kuwait",101,"0.056980741665832696"
"Central Asia",224,"0.23399635088199008"
"Northern Europe",231,"0.35655445899853444"
"Austria",8,"0.3735501857432555"
"Tunisia",191,"0.4212637555406508"
"Belgium-Luxembourg",16,"0.5430036521999493"
"Hungary",86,"0.6102020669339645"
"Spain",176,"0.718355673046035"
"Americas",218,"0.723221152511877"
"United States of America",200,"0.7951658026735596"
"Croatia",46,"0.9284128702933537"
"Germany",75,"0.9569589334683068"
"European Union (27)",239,"1.0524910978287585"
"Romania",155,"1.141194228178398"
"China, Taiwan Province of",39,"1.381777657736898"
"Southern Europe",232,"1.429695628774018"
"Uzbekistan",203,"1.4545037530522569"
"Portugal",149,"1.5503071397407484"
"Western Europe",233,"1.5874498000007737"
"Japan",96,"1.8297402177591633"
"Mexico",121,"2.237936974372602"
"Greece",77,"2.5135792892139874"
"Sri Lanka",177,"2.5226285515886158"
"Serbia",165,"2.60512120222501"
"Ecuador",57,"2.661744943646623"
"Australia and New Zealand",235,"2.9208111073963856"
"New Zealand",133,"2.9221303337635915"
"Australia",7,"2.975716841141244"
"Oceania",234,"3.1276747139600483"
"South Africa",174,"3.437479084921863"
"Southern Africa",216,"4.108578726234007"
"United Kingdom of Great Britain and Northern Ireland",198,"4.301400648402795"
"Libya",108,"4.7905057074555994"
"Sweden",181,"5.445822713875507"
"Central America",220,"5.833350907942876"
"North Macedonia",138,"6.837858924416917"
"Italy",94,"7.049531317008493"
"Ukraine",196,"7.425788952111924"
"Czechia",49,"7.720887698784815"
"Zimbabwe",210,"9.747089692574487"
"Democratic People's Republic of Korea",51,"10.839287582584905"
"Uruguay",201,"13.642866837191907"
"El Salvador",59,"14.225811532662414"
"Iceland",87,"14.991084425265536"
"Switzerland",182,"19.179849069402312"
"Bosnia and Herzegovina",21,"24.1527436177585"
"Tajikistan",184,"27.099999848645737"
"France",69,"27.575902821041197"
"Albania",1,"30.684881525684638"
"Senegal",164,"31.319226720642547"
"Afghanistan",0,"33.957512635955666"
"Myanmar",127,"61.438110491334925"
"Western Africa",217,"75.36202826871454"
"Zambia",209,"127.43571336424542"
"Costa Rica",44,"167.4166457973555"
"Peru",146,"192.0795777764513"
"Eastern Africa",213,"244.77707099522743"
"Côte d'Ivoire",45,"476.9431971500405"
"United Republic of Tanzania",199,"481.27406261175014"
"Kenya",99,"592.4956982142861"
"Uganda",195,"906.2594230067482"
"Estonia",62,"1172.2128828862574"
"Slovenia",171,"23028.75388020781"
"Latvia",104,NULL
"Nepal",130,NULL
"Armenia",6,NULL
